# Lambda	SNR
0.934	0.20864689298460645
0.9340983634797588	0.2002926379343397
0.9341967269595176	0.2101627530734324
0.9342950904392765	0.2352779258515102
0.9343934539190354	0.227546179984584
0.9344918173987943	0.17628289627287008
0.934590180878553	0.1363992143314772
0.9346885443583118	0.1402449880245279
0.9347869078380707	0.1769363499304113
0.9348852713178294	0.23629304515504085
0.9349836347975883	0.2956087497841527
0.9350819982773472	0.330108699009195
0.9351803617571058	0.3415009110864038
0.9352787252368647	0.34204352139218935
0.9353770887166236	0.33291526666265064
0.9354754521963825	0.2929983529395227
0.9355738156761412	0.22900470828674
0.9356721791559001	0.2082642192433599
0.935770542635659	0.2544353825914556
0.9358689061154176	0.2859247289996407
0.9359672695951765	0.24912805386628056
0.9360656330749354	0.21615590659454303
0.9361639965546943	0.2613498465631462
0.9362623600344531	0.33741524708579546
0.9363607235142118	0.381370584915511
0.9364590869939707	0.3991760106905954
0.9365574504737295	0.3978990817143807
0.9366558139534884	0.36813896860111583
0.9367541774332473	0.3287327999913363
0.936852540913006	0.31584364484771676
0.9369509043927648	0.33887081537175945
0.9370492678725237	0.35892451125384
0.9371476313522826	0.33450657564049335
0.9372459948320413	0.29455715128334525
0.9373443583118002	0.27420450301845645
0.9374427217915591	0.30142956344070654
0.9375410852713177	0.3610038697099622
0.9376394487510766	0.3445610853893635
0.9377378122308355	0.23740424168738322
0.9378361757105944	0.17593275809552333
0.9379345391903531	0.19098595127969853
0.938032902670112	0.2769096785217122
0.9381312661498709	0.3574083966639062
0.9382296296296295	0.36543271565666924
0.9383279931093884	0.33425305864214827
0.9384263565891473	0.34961534908858277
0.938524720068906	0.4197342019023873
0.9386230835486649	0.48178946304366843
0.9387214470284237	0.4982235181277379
0.9388198105081826	0.45134130849972376
0.9389181739879414	0.3933044438269226
0.9390165374677003	0.4190447551784414
0.9391149009474591	0.5028786986894154
0.9392132644272179	0.556839824840649
0.9393116279069768	0.5654190388937155
0.9394099913867356	0.5611398982122873
0.9395083548664945	0.5704103536104577
0.9396067183462532	0.5841358952095751
0.9397050818260121	0.5898977812761215
0.939803445305771	0.5918297256741126
0.9399018087855296	0.5908605061475729
0.9400001722652885	0.5803993286786552
0.9400985357450474	0.5492693005226303
0.9401968992248061	0.5252477261643067
0.940295262704565	0.5141460744301329
0.9403936261843239	0.4843550882477623
0.9404919896640828	0.4803684820839256
0.9405903531438414	0.5307660029777566
0.9406887166236003	0.5792669099390557
0.9407870801033592	0.5991482085342338
0.9408854435831179	0.6008585424842858
0.9409838070628768	0.5973410013435243
0.9410821705426357	0.5796380975546608
0.9411805340223945	0.5330507834007551
0.9412788975021533	0.4990241796486994
0.9413772609819121	0.5291359933943982
0.941475624461671	0.5843676639355715
0.9415739879414298	0.6108854658979788
0.9416723514211887	0.6223711706889894
0.9417707149009475	0.627838162343062
0.9418690783807062	0.5996090904638519
0.9419674418604651	0.5418211747706321
0.942065805340224	0.5027674763808608
0.9421641688199829	0.4741508118686169
0.9422625322997416	0.466448557297837
0.9423608957795004	0.4979446309390424
0.9424592592592593	0.5362466426518746
0.942557622739018	0.5894672078175627
0.9426559862187769	0.629344732181255
0.9427543496985358	0.6028396996070154
0.9428527131782947	0.4997178109806327
0.9429510766580533	0.38545487808144496
0.9430494401378122	0.36245949979070685
0.9431478036175711	0.4322600321581149
0.9432461670973298	0.5008205148824341
0.9433445305770887	0.5487198463938379
0.9434428940568476	0.614252238964212
0.9435412575366064	0.6668071608970361
0.9436396210163651	0.6861869626142151
0.943737984496124	0.6845472869141896
0.9438363479758829	0.6515758687193103
0.9439347114556417	0.5576650366489131
0.9440330749354006	0.40830441421988045
0.9441314384151593	0.2637976076760757
0.9442298018949181	0.19953112541360973
0.944328165374677	0.22018537647225458
0.9444265288544359	0.34375378457512773
0.9445248923341948	0.46300228223012974
0.9446232558139535	0.5286609265309562
0.9447216192937123	0.5834347774452137
0.9448199827734712	0.6175375101510256
0.9449183462532299	0.6440219813187448
0.9450167097329888	0.6690184790502322
0.9451150732127477	0.6690070553687352
0.9452134366925066	0.6546690759439349
0.9453118001722652	0.6624684041752993
0.9454101636520241	0.6860817482173129
0.945508527131783	0.6746444936398543
0.9456068906115417	0.6062025985184692
0.9457052540913006	0.5330041138867019
0.9458036175710595	0.5108080182759145
0.9459019810508181	0.5214532807629401
0.946000344530577	0.48871727882536886
0.9460987080103359	0.4195764771959803
0.9461970714900948	0.3958802003310808
0.9462954349698536	0.41019735181923567
0.9463937984496124	0.4793306739665414
0.9464921619293712	0.6033764275232786
0.94659052540913	0.6859554652898352
0.9466888888888889	0.695551166198461
0.9467872523686478	0.6855265687862806
0.9468856158484066	0.6874795340903382
0.9469839793281654	0.6702754741325436
0.9470823428079242	0.6195162786592971
0.9471807062876831	0.591390902629287
0.9472790697674418	0.6342629346945541
0.9473774332472007	0.7031813068305884
0.9474757967269596	0.7332267230971459
0.9475741602067183	0.7025168756874268
0.9476725236864771	0.6158537017123445
0.947770887166236	0.4650697836581616
0.9478692506459949	0.31361803714836356
0.9479676141257536	0.28950189912727065
0.9480659776055125	0.4031363379040088
0.9481643410852714	0.5617490892997484
0.94826270456503	0.5305144434850327
0.9483610680447889	0.45450038600660747
0.9484594315245478	0.4865104060293404
0.9485577950043067	0.6141588770890181
0.9486561584840654	0.7193342637293062
0.9487545219638243	0.7486570556699612
0.9488528854435831	0.7414302953404567
0.9489512489233419	0.7417936479018344
0.9490496124031008	0.7614709928124439
0.9491479758828596	0.7830707510338669
0.9492463393626184	0.7904487641352886
0.9493447028423773	0.7820536451450795
0.9494430663221362	0.7379618901292306
0.949541429801895	0.6331786702687506
0.9496397932816537	0.535011972648811
0.9497381567614126	0.5606703876488279
0.9498365202411715	0.6458479220899096
0.9499348837209302	0.6645104998296797
0.950033247200689	0.6552371388198643
0.9501316106804479	0.6459035319211738
0.9502299741602068	0.5687030551977612
0.9503283376399655	0.45483206929839737
0.9504267011197244	0.4107729087802984
0.9505250645994833	0.4496008148094993
0.9506234280792419	0.5760202782192073
0.9507217915590008	0.7357168517050445
0.9508201550387597	0.8093009504828894
0.9509185185185184	0.8370011215450412
0.9510168819982773	0.8547939055499505
0.9511152454780362	0.8629675873391771
0.951213608957795	0.8649613453948116
0.9513119724375538	0.863282225334159
0.9514103359173126	0.8629192897998075
0.9515086993970715	0.8569779198940688
0.9516070628768303	0.8452789260640843
0.9517054263565892	0.8361425434273388
0.9518037898363481	0.7952574946924849
0.9519021533161068	0.6949926788659576
0.9520005167958656	0.573386212461714
0.9520988802756245	0.42600489682514475
0.9521972437553834	0.36500242379735587
0.9522956072351421	0.4536308433378253
0.952393970714901	0.6054467533218002
0.9524923341946598	0.6599729447237181
0.9525906976744185	0.7387334050723935
0.9526890611541774	0.8152753838440598
0.9527874246339363	0.8487274581539395
0.9528857881136952	0.8692700814423586
0.9529841515934538	0.8458142903995814
0.9530825150732127	0.8016644155297508
0.9531808785529716	0.8219554669209117
0.9532792420327303	0.8942530814219177
0.9533776055124892	0.9423848853397038
0.9534759689922481	0.9609676832027416
0.953574332472007	0.9692500231124441
0.9536726959517656	0.9520116434472498
0.9537710594315245	0.8947966527847637
0.9538694229112834	0.860861384150887
0.9539677863910422	0.90494402646916
0.9540661498708011	0.9579279928329838
0.9541645133505599	0.9778370712301285
0.9542628768303187	0.9670018323883807
0.9543612403100775	0.9503995355331506
0.9544596037898364	0.9366792574127636
0.9545579672695953	0.8530203872496402
0.954656330749354	0.7546511679215298
0.9547546942291129	0.795030486683308
0.9548530577088717	0.9138915419587775
0.9549514211886304	0.9946113600651834
0.9550497846683893	1.0240680539631217
0.9551481481481482	1.029229254894836
0.9552465116279071	1.0263543610945225
0.9553448751076657	0.9509785337184764
