# Lambda	SNR
0.934	1379.5665570164304
0.9340983634797588	1349.1664971471116
0.9341967269595176	1360.9796725952594
0.9342950904392765	1427.6747623976892
0.9343934539190354	1400.6929837224736
0.9344918173987943	1230.6921526920235
0.934590180878553	1081.047704146585
0.9346885443583118	1096.30153197584
0.9347869078380707	1232.8704132504515
0.9348852713178294	1427.1865611530095
0.9349836347975883	1598.8755349859073
0.9350819982773472	1691.2265670311053
0.9351803617571058	1720.7234838153108
0.9352787252368647	1721.9853016691277
0.9353770887166236	1698.2414686710306
0.9354754521963825	1591.3942857315635
0.9355738156761412	1404.4225441244191
0.9356721791559001	1338.4852560062272
0.935770542635659	1481.2980252352447
0.9358689061154176	1571.5670055863575
0.9359672695951765	1465.4855249188915
0.9360656330749354	1363.7790851078926
0.9361639965546943	1501.4137503451236
0.9362623600344531	1709.3147044425602
0.9363607235142118	1819.2336242339468
0.9364590869939707	1862.0154668706502
0.9365574504737295	1858.9244444340247
0.9366558139534884	1786.6506059599665
0.9367541774332473	1686.5671353246719
0.936852540913006	1652.5752398892705
0.9369509043927648	1712.7349579220474
0.9370492678725237	1763.5478439254355
0.9371476313522826	1701.3853194185724
0.9372459948320413	1594.8793054505222
0.9373443583118002	1538.4335538044227
0.9374427217915591	1620.02700286027
0.9375410852713177	1816.4029157302634
0.9376394487510766	1952.5070277591415
0.9377378122308355	1982.8238133360614
0.9378361757105944	1943.9505255174463
0.9379345391903531	1842.2531661007188
0.938032902670112	1767.1388725205795
0.9381312661498709	1794.7942195929106
0.9382296296296295	1782.275109519796
0.9383279931093884	1703.7310929386904
0.9384263565891473	1753.7297107732763
0.938524720068906	1938.1800482161814
0.9386230835486649	2074.8278085284896
0.9387214470284237	2095.584677668328
0.9388198105081826	1987.3629564635085
0.9389181739879414	1853.4315125301405
0.9390165374677003	1912.510535318079
0.9391149009474591	2095.8483206082274
0.9392132644272179	2206.616684036329
0.9393116279069768	2223.6331274542104
0.9394099913867356	2214.857973554357
0.9395083548664945	2233.5435655727424
0.9396067183462532	2261.0885285828685
0.9397050818260121	2273.5567198961057
0.939803445305771	2282.318792372352
0.9399018087855296	2289.278338967166
0.9400001722652885	2270.249672490114
0.9400985357450474	2199.6354687492753
0.9401968992248061	2152.4838034873073
0.940295262704565	2174.346758641357
0.9403936261843239	2206.390327980912
0.9404919896640828	2230.026769595224
0.9405903531438414	2254.1322314289655
0.9406887166236003	2276.379393441669
0.9407870801033592	2293.0316928855827
0.9408854435831179	2293.3882669921277
0.9409838070628768	2286.2196031053795
0.9410821705426357	2251.01112965663
0.9411805340223945	2156.0527994905774
0.9412788975021533	2084.2608945676484
0.9413772609819121	2147.791017965168
0.941475624461671	2260.183076466228
0.9415739879414298	2312.4215599599925
0.9416723514211887	2335.1253736273143
0.9417707149009475	2347.6437738666873
0.9418690783807062	2297.363087177097
0.9419674418604651	2196.4559999234675
0.942065805340224	2188.2149482820973
0.9421641688199829	2283.383948533318
0.9422625322997416	2323.02861822012
0.9423608957795004	2279.232748116858
0.9424592592592593	2265.2398162997806
0.942557622739018	2328.63186491343
0.9426559862187769	2369.3597915852433
0.9427543496985358	2299.8227436941784
0.9428527131782947	2085.235258711857
0.9429510766580533	1825.8444628975064
0.9430494401378122	1769.4675652978717
0.9431478036175711	1935.693481150575
0.9432461670973298	2087.081277435809
0.9433445305770887	2187.203406244066
0.9434428940568476	2317.93557927556
0.9435412575366064	2418.2613099907494
0.9436396210163651	2454.3275826526656
0.943737984496124	2451.2399162189176
0.9438363479758829	2391.9860983813146
0.9439347114556417	2238.9479903374304
0.9440330749354006	2094.7604003522765
0.9441314384151593	2084.0486552236607
0.9442298018949181	2018.2094571118507
0.944328165374677	1864.3372035281357
0.9444265288544359	1891.3465404637668
0.9445248923341948	2030.154842890841
0.9446232558139535	2147.412735112618
0.9447216192937123	2257.5454987999165
0.9448199827734712	2329.126674678784
0.9449183462532299	2390.780663067409
0.9450167097329888	2444.0525698956426
0.9451150732127477	2435.511766954384
0.9452134366925066	2398.488416603417
0.9453118001722652	2409.623401245671
0.9454101636520241	2453.0971332418526
0.945508527131783	2431.7541651506485
0.9456068906115417	2300.9944362521096
0.9457052540913006	2154.0615809435053
0.9458036175710595	2115.5291430422208
0.9459019810508181	2199.9183388407546
0.946000344530577	2336.058398397064
0.9460987080103359	2351.56024247209
0.9461970714900948	2173.34060393002
0.9462954349698536	1988.07929419781
0.9463937984496124	2056.5318048734766
0.9464921619293712	2296.4921669033024
0.94659052540913	2452.0499550182117
0.9466888888888889	2469.650352294992
0.9467872523686478	2451.0691134569192
0.9468856158484066	2454.6129507155297
0.9469839793281654	2422.5549430276506
0.9470823428079242	2325.9189594212908
0.9471807062876831	2270.850631186678
0.9472790697674418	2354.431140032525
0.9473774332472007	2483.881424844668
0.9474757967269596	2538.682485692699
0.9475741602067183	2487.2127641199877
0.9476725236864771	2374.2409350642088
0.947770887166236	2330.5962983794147
0.9478692506459949	2408.8885102564345
0.9479676141257536	2509.6530039529184
0.9480659776055125	2530.6704818439753
0.9481643410852714	2408.8588430367063
0.94826270456503	2169.133956544781
0.9483610680447889	1984.544691858317
0.9484594315245478	2053.535728755385
0.9485577950043067	2314.6446949382225
0.9486561584840654	2511.697125489084
0.9487545219638243	2564.2486786692416
0.9488528854435831	2551.281738604623
0.9489512489233419	2551.869646256432
0.9490496124031008	2586.7863514153496
0.9491479758828596	2624.666471972892
0.9492463393626184	2637.457332235709
0.9493447028423773	2622.7691037938807
0.9494430663221362	2544.765986146773
0.949541429801895	2350.783008388726
0.9496397932816537	2155.4628562503053
0.9497381567614126	2207.93089438218
0.9498365202411715	2374.7790788675384
0.9499348837209302	2409.9189094508547
0.950033247200689	2392.4025198133263
0.9501316106804479	2375.2275252539143
0.9502299741602068	2232.5847898164543
0.9503283376399655	2046.2915724107525
0.9504267011197244	2126.445030377131
0.9505250645994833	2423.42693035832
0.9506234280792419	2628.2331818969433
0.9507217915590008	2684.098921939047
0.9508201550387597	2692.2504885193375
0.9509185185185184	2718.1097420875876
0.9510168819982773	2746.3605961468825
0.9511152454780362	2759.953877102766
0.951213608957795	2763.0588134760237
0.9513119724375538	2760.136967046537
0.9514103359173126	2759.751543480615
0.9515086993970715	2750.44429715332
0.9516070628768303	2731.100328103529
0.9517054263565892	2715.0618141367745
0.9518037898363481	2646.596866989996
0.9519021533161068	2495.280280358593
0.9520005167958656	2431.296123090856
0.9520988802756245	2506.7169744487614
0.9521972437553834	2574.4469962376847
0.9522956072351421	2590.6213755505246
0.952393970714901	2501.9794986031457
0.9524923341946598	2429.003559622907
0.9525906976744185	2546.1791355358155
0.9526890611541774	2677.715972090826
0.9527874246339363	2734.4146490920293
0.9528857881136952	2768.7200880926484
0.9529841515934538	2729.2985001331604
0.9530825150732127	2653.918873694116
0.9531808785529716	2688.6570594399873
0.9532792420327303	2809.736563221173
0.9533776055124892	2888.015001581606
0.9534759689922481	2917.732337289547
0.953574332472007	2930.856795189212
0.9536726959517656	2903.245419839322
0.9537710594315245	2810.255642343683
0.9538694229112834	2753.8773214681746
0.9539677863910422	2826.726896470339
0.9540661498708011	2912.341289616103
0.9541645133505599	2943.9531901622795
0.9542628768303187	2926.6701010810366
0.9543612403100775	2900.070546551639
0.9544596037898364	2877.971054050531
0.9545579672695953	2740.3521607990656
0.954656330749354	2570.8572105178196
0.9547546942291129	2641.406003812096
0.9548530577088717	2840.742048462013
0.9549514211886304	2969.9197254971164
0.9550497846683893	3015.989253037462
0.9551481481481482	3026.4636476716514
0.9552465116279071	3048.9897874986946
