# Lambda	SNR
0.765	1631.8460785409252
0.7650334742351047	1567.5584454443267
0.7650669484702094	1414.54589647131
0.765100422705314	1233.8636604612484
0.7651338969404187	1207.9279774114493
0.7651673711755234	1253.1651023097995
0.765200845410628	1203.6505136119986
0.7652343196457326	1221.5898632695516
0.7652677938808373	1400.6112904951467
0.765301268115942	1560.140611413432
0.7653347423510467	1631.22328674719
0.7653682165861514	1653.1724902376077
0.7654016908212561	1657.4166514911
0.7654351650563607	1660.261772864057
0.7654686392914654	1661.7849582270696
0.76550211352657	1650.9760212393778
0.7655355877616747	1605.4084100520083
0.7655690619967794	1488.2341524794292
0.7656025362318841	1329.924272626463
0.7656360104669888	1291.7917683189066
0.7656694847020934	1340.0546808194927
0.7657029589371981	1301.8667513743503
0.7657364331723027	1298.049622435147
0.7657699074074074	1443.1042780631024
0.765803381642512	1584.22004013947
0.7658368558776167	1646.3481250096397
0.7658703301127214	1663.7965951966835
0.7659038043478261	1667.766177526969
0.7659372785829308	1670.837023073792
0.7659707528180355	1672.958250204456
0.7660042270531401	1670.560852199109
0.7660377012882448	1658.3588457116807
0.7660711755233494	1615.393968254583
0.766104649758454	1506.652690042995
0.7661381239935587	1387.270066078765
0.7661715982286634	1389.0978180630398
0.7662050724637681	1420.350705220189
0.7662385466988728	1374.745289773821
0.7662720209339775	1399.824038602403
0.7663054951690821	1531.890116365416
0.7663389694041868	1630.451089540921
0.7663724436392915	1665.083311694853
0.7664059178743962	1673.0649707319305
0.7664393921095008	1675.7494017878564
0.7664728663446055	1678.006012561528
0.7665063405797101	1678.8830022418274
0.7665398148148148	1677.6927652074485
0.7665732890499195	1673.261603620518
0.7666067632850241	1656.7344844961674
0.7666402375201288	1598.6291337505356
0.7666737117552335	1494.9096529956928
0.7667071859903382	1449.5779783686867
0.7667406602254428	1485.361000320761
0.7667741344605475	1470.0735966400114
0.7668076086956522	1446.49820965676
0.7668410829307569	1525.8374204103457
0.7668745571658615	1623.4251951433637
0.7669080314009661	1666.7164571736255
0.7669415056360708	1677.0433775976674
0.7669749798711755	1679.5079646809604
0.7670084541062802	1681.1032334942747
0.7670419283413848	1681.9447695459892
0.7670754025764895	1681.8981597595673
0.7671088768115942	1681.0557916701923
0.7671423510466989	1679.1173468922107
0.7671758252818035	1670.171975666691
0.7672092995169082	1632.5971936486753
0.7672427737520129	1556.047874796606
0.7672762479871176	1512.7896028095968
0.7673097222222223	1538.4762477527906
0.7673431964573268	1533.5018062785098
0.7673766706924315	1509.8213453155588
