# Lambda	SNR
1.521	1597.3385926774477
1.5210297236322614	1597.871467815706
1.5210594472645234	1598.3927266423573
1.5210891708967849	1598.8959712933472
1.5211188945290468	1599.3930381123484
1.5211486181613083	1599.8919482065767
1.52117834179357	1600.374025490882
1.5212080654258318	1600.8125663907279
1.5212377890580935	1601.2108160112975
1.5212675126903552	1601.5892799651533
1.521297236322617	1601.9011469436111
1.5213269599548784	1602.180736408601
1.5213566835871404	1602.566723694725
1.5213864072194019	1603.0786469419395
1.5214161308516638	1603.6789626312989
1.5214458544839253	1604.2929419947684
1.521475578116187	1604.8241258828034
1.5215053017484488	1605.1367259475385
1.5215350253807105	1604.8153025277115
1.5215647490129722	1602.4657049664459
1.521594472645234	1597.7607811521577
1.5216241962774955	1595.9919975334592
1.5216539199097574	1600.4047604585824
1.521683643542019	1605.340977795342
1.5217133671742809	1607.1549483957144
1.5217430908065424	1606.381643912391
1.521772814438804	1601.5429586871219
1.5218025380710658	1588.8104396378678
1.5218322617033275	1570.2182174514364
1.5218619853355893	1559.908833625164
1.521891708967851	1569.9584739088107
1.5219214326001127	1590.7460054740418
1.5219511562323744	1605.0597595158338
1.521980879864636	1610.7261334920754
1.5220106034968979	1612.7693736797805
1.5220403271291594	1613.7946949077616
1.5220700507614213	1614.4711677511953
1.5220997743936828	1615.0023173861407
1.5221294980259445	1615.5642525934327
1.5221592216582063	1616.204631753004
1.522188945290468	1616.818393288682
1.5222186689227297	1617.3774328885113
1.5222483925549914	1617.9075158665996
1.522278116187253	1618.391869669488
1.522307839819515	1618.744468469492
1.5223375634517764	1618.7356570183367
1.5223672870840383	1618.2242134901621
1.5223970107162998	1617.6197134231293
1.5224267343485616	1617.552085891659
1.5224564579808233	1618.5472452971387
1.522486181613085	1620.27274795579
1.5225159052453467	1621.5982145675016
1.5225456288776085	1622.2505925724417
1.52257535250987	1622.5864358419678
1.522605076142132	1622.9201621108061
1.5226347997743934	1623.4279023902277
1.5226645234066554	1624.1641055859102
1.5226942470389169	1624.97711698913
1.5227239706711786	1625.6813123514232
1.5227536943034403	1626.2610013846395
1.522783417935702	1626.7798907323718
1.5228131415679638	1627.2801712060866
1.5228428652002255	1627.7392511487772
1.522872588832487	1628.0387446861907
1.522902312464749	1628.0102815894516
1.5229320360970104	1627.9223539513516
1.5229617597292724	1628.4545199080708
1.522991483361534	1629.4535401009512
1.5230212069937956	1630.3111960063131
1.5230509306260573	1630.9747751190257
1.523080654258319	1631.5533792519584
1.5231103778905808	1632.0711905655598
1.5231401015228425	1632.5450058934387
1.523169825155104	1632.9717846005126
1.523199548787366	1633.3223601232594
1.5232292724196275	1633.6120070922605
1.5232589960518894	1633.916442233287
1.523288719684151	1634.1981396302256
1.5233184433164126	1634.1543785692008
1.5233481669486744	1633.037964537653
1.523377890580936	1628.7052644253863
1.5234076142131978	1618.9792850995361
1.5234373378454595	1610.528179042356
1.523467061477721	1614.668262493791
1.523496785109983	1626.3664623688228
1.5235265087422445	1634.2683084635073
1.5235562323745064	1637.299871015359
1.523585956006768	1638.0553213581838
1.5236156796390297	1637.5852226192787
1.5236454032712914	1637.1047717690724
1.5236751269035531	1638.1621172560017
1.5237048505358148	1640.1334288435658
1.5237345741680766	1641.542371422817
1.5237642978003383	1642.312146496002
1.5237940214326	1642.8670892908287
1.5238237450648615	1643.417653500408
1.5238534686971235	1644.0097161213848
1.523883192329385	1644.583410827656
1.523912915961647	1645.0703520178747
1.5239426395939084	1645.4159876708154
1.5239723632261701	1645.6573192961878
1.5240020868584319	1646.0292566035287
1.5240318104906936	1646.6082396202132
1.5240615341229553	1647.1066949079752
1.524091257755217	1647.490833566364
1.5241209813874785	1648.0550867939264
