# Lambda	ivar
0.934	5.227954252152171e-07
0.9340983634797588	5.464959283579146e-07
0.9341967269595176	5.370988768658001e-07
0.9342950904392765	4.883182729060113e-07
0.9343934539190354	5.072203436128813e-07
0.9344918173987943	6.560867926145688e-07
0.934590180878553	8.487198765934407e-07
0.9346885443583118	8.254512992204918e-07
0.9347869078380707	6.537849593156898e-07
0.9348852713178294	4.886508816324918e-07
0.9349836347975883	3.8971242115878205e-07
0.9350819982773472	3.4845148066447326e-07
0.9351803617571058	3.36645668022151e-07
0.9352787252368647	3.3615407098371203e-07
0.9353770887166236	3.4558825494321574e-07
0.9354754521963825	3.9337131782784484e-07
0.9355738156761412	5.045429935268714e-07
0.9356721791559001	5.552068384704369e-07
0.935770542635659	4.537546819310453e-07
0.9358689061154176	4.0332107054863923e-07
0.9359672695951765	4.6355576471846504e-07
0.9360656330749354	5.349076325978145e-07
0.9361639965546943	4.41728558758245e-07
0.9362623600344531	3.4113979076322685e-07
0.9363607235142118	3.012769779332642e-07
0.9364590869939707	2.8762942213004344e-07
0.9365574504737295	2.885841100706309e-07
0.9366558139534884	3.1233271025357226e-07
0.9367541774332473	3.503729817063004e-07
0.936852540913006	3.648839722951862e-07
0.9369509043927648	3.397831028523382e-07
0.9370492678725237	3.2054422020072345e-07
0.9371476313522826	3.4431647811249237e-07
0.9372459948320413	3.9166050591840133e-07
0.9373443583118002	4.208101079352615e-07
0.9374427217915591	3.796392380235632e-07
0.9375410852713177	3.02213876847393e-07
0.9376394487510766	2.616510043209008e-07
0.9377378122308355	2.5372968492444006e-07
0.9378361757105944	2.6395225987615126e-07
0.9379345391903531	2.938143349417516e-07
0.938032902670112	3.192460612242221e-07
0.9381312661498709	3.0951309294394243e-07
0.9382296296296295	3.138635203190135e-07
0.9383279931093884	3.433720934043314e-07
0.9384263565891473	3.241321221927079e-07
0.938524720068906	2.655240276121999e-07
0.9386230835486649	2.3177620391439601e-07
0.9387214470284237	2.2721741123054212e-07
0.9388198105081826	2.5257584618566255e-07
0.9389181739879414	2.902923867690978e-07
0.9390165374677003	2.7268082282067995e-07
0.9391149009474591	2.2716038836772427e-07
0.9392132644272179	2.0497038845435056e-07
0.9393116279069768	2.0185135360489916e-07
0.9394099913867356	2.0345084441397857e-07
0.9395083548664945	2.000674911944994e-07
0.9396067183462532	1.9523174204904964e-07
0.9397050818260121	1.9310026466832938e-07
0.939803445305771	1.9162315963958994e-07
0.9399018087855296	1.9046195536847452e-07
0.9400001722652885	1.9366218761754615e-07
0.9400985357450474	2.0627093725417076e-07
0.9401968992248061	2.153880607758976e-07
0.940295262704565	2.1108707627232684e-07
0.9403936261843239	2.0501220595689461e-07
0.9404919896640828	2.0069761275290518e-07
0.9405903531438414	1.9643620921483563e-07
0.9406887166236003	1.9262254039152612e-07
0.9407870801033592	1.89840094975254e-07
0.9408854435831179	1.897811773603912e-07
0.9409838070628768	1.9097101469981282e-07
