# Lambda	ivar
0.765	3.7548588903036274e-07
0.7650334742351047	4.069120089557529e-07
0.7650669484702094	4.996916093826589e-07
0.765100422705314	6.567222696442706e-07
0.7651338969404187	6.852205358336896e-07
0.7651673711755234	6.366519406757495e-07
0.765200845410628	6.900983939461792e-07
0.7652343196457326	6.69982651283185e-07
0.7652677938808373	5.096823808435655e-07
0.765301268115942	4.1079013926203696e-07
0.7653347423510467	3.7577262731471915e-07
0.7653682165861514	3.658616537157884e-07
0.7654016908212561	3.6399052213590364e-07
0.7654351650563607	3.627442121019737e-07
0.7654686392914654	3.620795984277433e-07
0.76550211352657	3.6683564344178003e-07
0.7655355877616747	3.8795312792925226e-07
0.7655690619967794	4.514396448928755e-07
0.7656025362318841	5.652933927567967e-07
0.7656360104669888	5.99153932124678e-07
0.7656694847020934	5.5678024282464e-07
0.7657029589371981	5.899178720660195e-07
0.7657364331723027	5.933918676892257e-07
0.7657699074074074	4.801127244121998e-07
0.765803381642512	3.9839884702918475e-07
0.7658368558776167	3.6890071638600274e-07
0.7658703301127214	3.6120467733274604e-07
0.7659038043478261	3.594874410907722e-07
0.7659372785829308	3.5816738495096243e-07
0.7659707528180355	3.572597803523607e-07
0.7660042270531401	3.5828580484539975e-07
0.7660377012882448	3.63577084047888e-07
0.7660711755233494	3.8317230306171387e-07
0.766104649758454	4.404710855497382e-07
0.7661381239935587	5.1953113800763e-07
0.7661715982286634	5.18165065026186e-07
0.7662050724637681	4.956161896709648e-07
0.7662385466988728	5.29039279581249e-07
0.7662720209339775	5.102557448882821e-07
0.7663054951690821	4.260791839766833e-07
0.7663389694041868	3.761286092095821e-07
0.7663724436392915	3.6064667592967065e-07
0.7664059178743962	3.572141353521157e-07
0.7664393921095008	3.5607066523438806e-07
0.7664728663446055	3.551137216335251e-07
0.7665063405797101	3.5474291107975994e-07
0.7665398148148148	3.552464200739542e-07
0.7665732890499195	3.57130265839161e-07
0.7666067632850241	3.6429030363191456e-07
0.7666402375201288	3.9125017679548423e-07
0.7666737117552335	4.474174611385106e-07
0.7667071859903382	4.758346102295299e-07
0.7667406602254428	4.531876342443057e-07
0.7667741344605475	4.6266081687467077e-07
0.7668076086956522	4.77862700638664e-07
0.7668410829307569	4.294658057352693e-07
0.7668745571658615	3.7939093015655604e-07
0.7669080314009661	3.5994035793299896e-07
0.7669415056360708	3.5552157704942363e-07
0.7669749798711755	3.544790339225487e-07
0.7670084541062802	3.538066632610671e-07
0.7670419283413848	3.5345274481064894e-07
0.7670754025764895	3.5347233324858685e-07
0.7671088768115942	3.538266313563144e-07
0.7671423510466989	3.5464396285077644e-07
0.7671758252818035	3.584526513408807e-07
0.7672092995169082	3.751405056427132e-07
0.7672427737520129	4.1295365360866005e-07
0.7672762479871176	4.3690508771765785e-07
0.7673097222222223	4.2243940257347674e-07
0.7673431964573268	4.251841591251412e-07
0.7673766706924315	4.386244319821345e-07
0.7674101449275362	4.100513575439552e-07
0.7674436191626409	3.728799937555254e-07
0.7674770933977455	3.574579204685146e-07
0.7675105676328502	3.540409716438079e-07
0.7675440418679549	3.533317553422442e-07
0.7675775161030596	3.529452980360918e-07
0.7676109903381643	3.527630356660164e-07
0.767644464573269	3.527509782906916e-07
0.7676779388083736	3.528612826868607e-07
0.7677114130434783	3.530260197067934e-07
0.7677448872785829	3.534997603364551e-07
0.7677783615136876	3.5684862431862326e-07
0.7678118357487922	3.7088776174444935e-07
0.7678453099838969	3.9701690834499e-07
0.7678787842190016	4.0731067446665006e-07
0.7679122584541063	3.971806220142303e-07
0.767945732689211	4.0308713487068155e-07
0.7679792069243156	4.0791506477610337e-07
0.7680126811594203	3.8436659976953504e-07
0.7680461553945249	3.6210662843312845e-07
0.7680796296296296	3.54288247069878e-07
0.7681131038647343	3.529052066543961e-07
0.768146578099839	3.5259684989884735e-07
0.7681800523349437	3.5244839369975663e-07
0.7682135265700483	3.524012986894973e-07
0.768247000805153	3.5241211014402995e-07
0.7682804750402576	3.524556857124383e-07
0.7683139492753623	3.5247434825124043e-07
0.768347423510467	3.52516958489641e-07
0.7683808977455716	3.5327125567370273e-07
0.7684143719806763	3.580604960440308e-07
0.768447846215781	3.719068266752785e-07
0.7684813204508857	3.864322071531258e-07
0.7685147946859904	3.8402260266119665e-07
0.7685482689210951	3.81317876638434e-07
0.7685817431561998	3.882538203865838e-07
0.7686152173913043	3.81135843232419e-07
0.768648691626409	3.6384271524420247e-07
0.7686821658615136	3.548242662455806e-07
0.7687156400966183	3.528123483670001e-07
0.768749114331723	3.525763289368278e-07
0.7687825885668277	3.5257242671050405e-07
0.7688160628019324	3.5255528858579484e-07
0.7688495370370371	3.5258373868416773e-07
0.7688830112721418	3.5270502516878486e-07
0.7689164855072464	3.5271362747531435e-07
0.768949959742351	3.526056326731249e-07
0.7689834339774557	3.5273934389443457e-07
0.7690169082125604	3.53248914080198e-07
0.769050382447665	3.5523862117825594e-07
0.7690838566827697	3.6245862128667645e-07
0.7691173309178744	3.7227445600627625e-07
0.7691508051529791	3.7306762733752507e-07
0.7691842793880838	3.7034268659592894e-07
0.7692177536231884	3.7375972385339436e-07
0.769251227858293	3.7137844417282373e-07
0.7692847020933977	3.6126615612989693e-07
0.7693181763285024	3.550089719970856e-07
0.7693516505636071	3.534178889995057e-07
0.7693851247987118	3.529358658603506e-07
0.7694185990338165	3.526357602724107e-07
0.7694520732689211	3.5273218383937983e-07
0.7694855475040258	3.529494385436034e-07
0.7695190217391304	3.5304336194887993e-07
0.769552495974235	3.5314136633535414e-07
0.7695859702093397	3.5300311003006507e-07
0.7696194444444444	3.5272239861672783e-07
0.7696529186795491	3.528096876189882e-07
0.7696863929146538	3.5317266521856876e-07
0.7697198671497585	3.54325285735693e-07
0.7697533413848632	3.584049825298766e-07
0.7697868156199679	3.6322928814945316e-07
0.7698202898550724	3.6288889466279354e-07
